2026-09-13 00:27:24,829 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:24,831 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 331-360 of 692.
2026-09-13 00:27:28,701 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:28,701 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 361-390 of 692.
2026-09-13 00:27:32,292 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:32,292 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 391-420 of 692.
2026-09-13 00:27:35,438 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:35,438 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 421-450 of 692.
2026-09-13 00:27:39,428 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:39,436 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 451-480 of 692.
2026-09-13 00:27:42,787 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:42,787 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 481-510 of 692.
2026-09-13 00:27:46,441 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:46,441 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 511-540 of 692.
2026-09-13 00:27:49,712 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:49,712 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 541-570 of 692.
2026-09-13 00:27:52,810 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:52,811 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 571-600 of 692.
INFO:     127.0.0.1:10286 - "POST /api/boom/chat HTTP/1.1" 200 OK
2026-09-13 00:27:55,379 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:55,387 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 601-630 of 692.
2026-09-13 00:27:57,413 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:57,413 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 631-660 of 692.
2026-09-13 00:27:59,366 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:59,366 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 661-690 of 692.
2026-09-13 00:27:59,537 | INFO | app.rag.vector_store | 2 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:59,537 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 691-692 of 692.
2026-09-13 00:27:59,537 | INFO | app.rag.pipeline | Ingested 692 page image(s) from 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' for user 1 using the 'clip' backend.
2026-09-13 00:27:59,537 | INFO | app.rag.ingest_raw |   done: 692 page image(s) stored for 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf'.
2026-09-13 00:27:59,537 | INFO | app.rag.ingest_raw | Processing raw PDF: ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf (198.4 MB)
2026-09-13 00:27:59,537 | INFO | app.rag.ingest_raw |   rendering + embedding each page...
2026-09-13 00:29:00,048 | INFO | app.rag.image_loader | Rendered 360 page image(s) from 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' at 120 DPI.
2026-09-13 00:29:00,057 | INFO | app.rag.vector_store | Document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' was deleted from the vector store for user 1.
2026-09-13 00:29:03,251 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
2026-09-13 00:29:03,257 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 1-30 of 360.
2026-09-13 00:29:06,214 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
2026-09-13 00:29:06,214 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 31-60 of 360.
2026-09-13 00:29:09,057 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
2026-09-13 00:29:09,057 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 61-90 of 360.
2026-09-13 00:29:12,372 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
2026-09-13 00:29:12,375 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 91-120 of 360.
2026-09-13 00:29:15,622 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
2026-09-13 00:29:15,622 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 121-150 of 360.
2026-09-13 00:29:18,385 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
